Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
46,ContentClassifierV6,1554,0,1554,4,0
46,EmptyElementClassifier,0,0,0,0,22
46,EnhancedClauseClassifierV6,257,0,257,5,0
46,EnhancedTOCDetector,1,1,0,1,0
46,HeadingClassifierV6,156,102,54,0,0
46,ImprovedMetadataRemoverV7,0,0,0,0,1286
46,LateMetadataRemoverStep,-5,0,0,0,0
46,LegalContentClassifierV6,134,25,109,3,0
46,MainTitleClassifierV6,27,27,0,0,0
46,SmartSectionClassifierV6,77,30,47,3,0
46,TextClassifier,0,0,0,0,3586
47,ContentClassifierV6,1575,0,1575,4,0
47,EmptyElementClassifier,0,0,0,0,22
47,EnhancedClauseClassifierV6,262,0,262,5,0
47,EnhancedTOCDetector,1,1,0,1,0
47,HeadingClassifierV6,157,103,54,0,0
47,ImprovedMetadataRemoverV7,0,0,0,0,1304
47,LateMetadataRemoverStep,-5,0,0,0,0
47,LegalContentClassifierV6,138,25,113,3,0
47,MainTitleClassifierV6,28,28,0,0,0
47,SmartSectionClassifierV6,78,30,48,3,0
47,TextClassifier,0,0,0,0,3622
48,ContentClassifierV6,1589,0,1589,4,0
48,EmptyElementClassifier,0,0,0,0,22
48,EnhancedClauseClassifierV6,262,0,262,5,0
48,EnhancedTOCDetector,1,1,0,1,0
48,HeadingClassifierV6,157,103,54,0,0
48,ImprovedMetadataRemoverV7,0,0,0,0,1329
48,LateMetadataRemoverStep,-5,0,0,0,0
48,LegalContentClassifierV6,142,27,115,3,0
48,MainTitleClassifierV6,28,28,0,0,0
48,SmartSectionClassifierV6,78,30,48,3,0
48,TextClassifier,0,0,0,0,3661
49,ContentClassifierV6,1652,0,1652,4,0
49,EmptyElementClassifier,0,0,0,0,22
49,EnhancedClauseClassifierV6,275,0,275,5,0
49,EnhancedTOCDetector,1,1,0,1,0
49,HeadingClassifierV6,170,110,60,0,0
49,ImprovedMetadataRemoverV7,0,0,0,0,1367
49,LateMetadataRemoverStep,-5,0,0,0,0
49,LegalContentClassifierV6,155,30,125,3,0
49,MainTitleClassifierV6,29,29,0,0,0
49,SmartSectionClassifierV6,80,30,50,3,0
49,TextClassifier,0,0,0,0,3771
50,ContentClassifierV6,1722,0,1722,4,0
50,EmptyElementClassifier,0,0,0,0,22
50,EnhancedClauseClassifierV6,286,0,286,5,0
50,EnhancedTOCDetector,1,1,0,1,0
50,HeadingClassifierV6,173,112,61,0,0
50,ImprovedMetadataRemoverV7,0,0,0,0,1406
50,LateMetadataRemoverStep,-5,0,0,0,0
50,LegalContentClassifierV6,163,32,131,3,0
50,MainTitleClassifierV6,30,30,0,0,0
50,SmartSectionClassifierV6,80,30,50,3,0
50,TextClassifier,0,0,0,0,3917
51,ContentClassifierV6,1788,0,1788,4,0
51,EmptyElementClassifier,0,0,0,0,22
51,EnhancedClauseClassifierV6,315,0,315,5,0
51,EnhancedTOCDetector,1,1,0,1,0
51,HeadingClassifierV6,178,117,61,0,0
51,ImprovedMetadataRemoverV7,0,0,0,0,1415
51,LateMetadataRemoverStep,-5,0,0,0,0
51,LegalContentClassifierV6,165,32,133,3,0
51,MainTitleClassifierV6,31,31,0,0,0
51,SmartSectionClassifierV6,86,36,50,3,0
51,TextClassifier,0,0,0,0,4176
52,ContentClassifierV6,1921,0,1921,4,0
52,EmptyElementClassifier,0,0,0,0,22
52,EnhancedClauseClassifierV6,325,0,325,5,0
52,EnhancedTOCDetector,1,1,0,1,0
52,HeadingClassifierV6,197,130,67,0,0
52,ImprovedMetadataRemoverV7,0,0,0,0,1415
52,LateMetadataRemoverStep,-5,0,0,0,0
52,LegalContentClassifierV6,168,32,136,3,0
52,MainTitleClassifierV6,32,32,0,0,0
52,SmartSectionClassifierV6,86,36,50,3,0
52,TextClassifier,0,0,0,0,4368
53,ContentClassifierV6,1933,0,1933,4,0
53,EmptyElementClassifier,0,0,0,0,22
53,EnhancedClauseClassifierV6,325,0,325,5,0
53,EnhancedTOCDetector,1,1,0,1,0
53,HeadingClassifierV6,197,130,67,0,0
53,ImprovedMetadataRemoverV7,0,0,0,0,1415
53,LateMetadataRemoverStep,-5,0,0,0,0
53,LegalContentClassifierV6,168,32,136,3,0
53,MainTitleClassifierV6,32,32,0,0,0
53,SmartSectionClassifierV6,87,37,50,3,0
53,TextClassifier,0,0,0,0,4394
54,ContentClassifierV6,1957,0,1957,4,0
54,EmptyElementClassifier,0,0,0,0,22
54,EnhancedClauseClassifierV6,328,0,328,5,0
54,EnhancedTOCDetector,1,1,0,1,0
54,HeadingClassifierV6,200,133,67,0,0
54,ImprovedMetadataRemoverV7,0,0,0,0,1421
54,LateMetadataRemoverStep,-5,0,0,0,0
54,LegalContentClassifierV6,170,32,138,3,0
54,MainTitleClassifierV6,33,33,0,0,0
54,SmartSectionClassifierV6,87,37,50,3,0
54,TextClassifier,0,0,0,0,4548
55,ContentClassifierV6,2010,0,2010,4,0
55,EmptyElementClassifier,0,0,0,0,22
