Agreement,Step,Δelement_count,Δroots,Δorphans,Δdepth,Δretyped
21,TextClassifier,0,0,0,0,947
21,TextElementMerger,0,0,0,0,0
21,VisualHeadingDetector,0,0,0,0,0
22,ConsecutivePageNumberClassifier,0,0,0,0,0
22,ContentClassifierV6,0,0,0,0,0
22,EarlyMetadataRemoverStep,0,0,0,0,0
22,EmptyElementClassifier,0,0,0,0,0
22,EnhancedClauseClassifierV6,0,0,0,0,121
22,EnhancedTOCDetector,0,0,0,0,0
22,FallbackTitleClassifier,0,0,0,0,0
22,HeadingClassifierV6,0,0,0,0,0
22,HierarchyBuilder,0,0,0,0,0
22,HtmlCommentRemoverStep,0,0,0,0,0
22,ImprovedMetadataRemoverv8,0,0,0,0,253
22,LateMetadataRemoverStep,0,0,0,0,0
22,LegalContentClassifierV6,0,0,0,0,0
22,MainTitleClassifierV6,0,0,0,0,0
22,OrphanAttacherStep,0,0,0,0,0
22,PageContinuationMerger,0,0,0,0,0
22,RepeatedHeaderFooterDetector,0,0,0,0,0
22,SmartSectionClassifierV6,0,0,0,0,0
22,TableClassifier,0,0,0,0,0
22,TableOfContentsClassifier,0,0,0,0,0
22,TableRootPromoter,0,0,0,0,0
22,TextClassifier,0,0,0,0,1100
22,TextElementMerger,0,0,0,0,0
22,VisualHeadingDetector,0,0,0,0,0
23,ConsecutivePageNumberClassifier,0,0,0,0,0
23,ContentClassifierV6,0,0,0,0,0
23,EarlyMetadataRemoverStep,0,0,0,0,0
23,EmptyElementClassifier,0,0,0,0,0
23,EnhancedClauseClassifierV6,0,0,0,0,127
23,EnhancedTOCDetector,0,0,0,0,0
23,FallbackTitleClassifier,0,0,0,0,0
23,HeadingClassifierV6,0,0,0,0,0
23,HierarchyBuilder,0,0,0,0,0
23,HtmlCommentRemoverStep,0,0,0,0,0
23,ImprovedMetadataRemoverv8,0,0,0,0,267
23,LateMetadataRemoverStep,0,0,0,0,0
23,LegalContentClassifierV6,0,0,0,0,0
23,MainTitleClassifierV6,0,0,0,0,0
23,OrphanAttacherStep,0,0,0,0,0
23,PageContinuationMerger,0,0,0,0,0
23,RepeatedHeaderFooterDetector,0,0,0,0,0
23,SmartSectionClassifierV6,0,0,0,0,0
23,TableClassifier,0,0,0,0,0
23,TableOfContentsClassifier,0,0,0,0,0
23,TableRootPromoter,0,0,0,0,0
23,TextClassifier,0,0,0,0,1168
23,TextElementMerger,0,0,0,0,0
23,VisualHeadingDetector,0,0,0,0,0
24,ConsecutivePageNumberClassifier,0,0,0,0,0
24,ContentClassifierV6,0,0,0,0,0
24,EarlyMetadataRemoverStep,0,0,0,0,0
24,EmptyElementClassifier,0,0,0,0,0
24,EnhancedClauseClassifierV6,0,0,0,0,127
24,EnhancedTOCDetector,0,0,0,0,0
24,FallbackTitleClassifier,0,0,0,0,0
24,HeadingClassifierV6,0,0,0,0,0
24,HierarchyBuilder,0,0,0,0,0
24,HtmlCommentRemoverStep,0,0,0,0,0
24,ImprovedMetadataRemoverv8,0,0,0,0,268
24,LateMetadataRemoverStep,0,0,0,0,0
24,LegalContentClassifierV6,0,0,0,0,0
24,MainTitleClassifierV6,0,0,0,0,0
24,OrphanAttacherStep,0,0,0,0,0
24,PageContinuationMerger,0,0,0,0,0
24,RepeatedHeaderFooterDetector,0,0,0,0,0
24,SmartSectionClassifierV6,0,0,0,0,0
24,TableClassifier,0,0,0,0,0
24,TableOfContentsClassifier,0,0,0,0,0
24,TableRootPromoter,0,0,0,0,0
24,TextClassifier,0,0,0,0,1180
24,TextElementMerger,0,0,0,0,0
24,VisualHeadingDetector,0,0,0,0,0
25,ConsecutivePageNumberClassifier,0,0,0,0,0
25,ContentClassifierV6,0,0,0,0,0
25,EarlyMetadataRemoverStep,0,0,0,0,0
25,EmptyElementClassifier,0,0,0,0,0
