Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
13,EmptyElementClassifier,0,0,0,0,5
13,EnhancedClauseClassifierV6,0,0,0,0,0
13,EnhancedTOCDetector,0,0,0,0,0
13,FallbackTitleClassifier,0,0,0,0,0
13,HeadingClassifierV6,0,0,0,0,0
13,HierarchyBuilder,0,0,0,0,0
13,HtmlCommentRemoverStep,0,0,0,0,0
13,ImprovedMetadataRemoverV7,0,0,0,0,176
13,LateMetadataRemoverStep,0,0,0,0,0
13,LegalContentClassifierV6,0,0,0,0,0
13,MainTitleClassifierV6,0,0,0,0,0
13,OrphanAttacherStep,0,0,0,0,0
13,SmartSectionClassifierV6,0,0,0,0,0
13,TableClassifier,0,0,0,0,0
13,TableOfContentsClassifier,0,0,0,0,0
13,TableRootPromoter,0,0,0,0,0
13,TextClassifier,0,0,0,0,729
13,TextElementMerger,0,0,0,0,0
13,VisualHeadingDetector,0,0,0,0,0
14,ConsecutivePageNumberClassifier,0,0,0,0,0
14,ContentClassifierV6,0,0,0,0,0
14,EarlyMetadataRemoverStep,0,0,0,0,0
14,EmptyElementClassifier,0,0,0,0,5
14,EnhancedClauseClassifierV6,0,0,0,0,0
14,EnhancedTOCDetector,0,0,0,0,0
14,FallbackTitleClassifier,0,0,0,0,0
14,HeadingClassifierV6,0,0,0,0,0
14,HierarchyBuilder,0,0,0,0,0
14,HtmlCommentRemoverStep,0,0,0,0,0
14,ImprovedMetadataRemoverV7,0,0,0,0,176
14,LateMetadataRemoverStep,0,0,0,0,0
14,LegalContentClassifierV6,0,0,0,0,0
14,MainTitleClassifierV6,0,0,0,0,0
14,OrphanAttacherStep,0,0,0,0,0
14,SmartSectionClassifierV6,0,0,0,0,0
14,TableClassifier,0,0,0,0,0
14,TableOfContentsClassifier,0,0,0,0,0
14,TableRootPromoter,0,0,0,0,0
14,TextClassifier,0,0,0,0,788
14,TextElementMerger,0,0,0,0,0
14,VisualHeadingDetector,0,0,0,0,0
15,ConsecutivePageNumberClassifier,0,0,0,0,0
15,ContentClassifierV6,0,0,0,0,0
15,EarlyMetadataRemoverStep,0,0,0,0,0
15,EmptyElementClassifier,0,0,0,0,5
15,EnhancedClauseClassifierV6,0,0,0,0,0
15,EnhancedTOCDetector,0,0,0,0,0
15,FallbackTitleClassifier,0,0,0,0,0
15,HeadingClassifierV6,0,0,0,0,0
15,HierarchyBuilder,0,0,0,0,0
15,HtmlCommentRemoverStep,0,0,0,0,0
15,ImprovedMetadataRemoverV7,0,0,0,0,202
15,LateMetadataRemoverStep,0,0,0,0,0
15,LegalContentClassifierV6,0,0,0,0,0
15,MainTitleClassifierV6,0,0,0,0,0
15,OrphanAttacherStep,0,0,0,0,0
15,SmartSectionClassifierV6,0,0,0,0,0
15,TableClassifier,0,0,0,0,0
15,TableOfContentsClassifier,0,0,0,0,0
15,TableRootPromoter,0,0,0,0,0
15,TextClassifier,0,0,0,0,828
15,TextElementMerger,0,0,0,0,0
15,VisualHeadingDetector,0,0,0,0,0
16,ConsecutivePageNumberClassifier,0,0,0,0,0
16,ContentClassifierV6,0,0,0,0,0
16,EarlyMetadataRemoverStep,0,0,0,0,0
16,EmptyElementClassifier,0,0,0,0,5
16,EnhancedClauseClassifierV6,0,0,0,0,0
16,EnhancedTOCDetector,0,0,0,0,0
16,FallbackTitleClassifier,0,0,0,0,0
16,HeadingClassifierV6,0,0,0,0,0
16,HierarchyBuilder,0,0,0,0,0
16,HtmlCommentRemoverStep,0,0,0,0,0
16,ImprovedMetadataRemoverV7,0,0,0,0,261
16,LateMetadataRemoverStep,0,0,0,0,0
16,LegalContentClassifierV6,0,0,0,0,0
16,MainTitleClassifierV6,0,0,0,0,0
16,OrphanAttacherStep,0,0,0,0,0
16,SmartSectionClassifierV6,0,0,0,0,0
16,TableClassifier,0,0,0,0,0
16,TableOfContentsClassifier,0,0,0,0,0
16,TableRootPromoter,0,0,0,0,0
16,TextClassifier,0,0,0,0,905
16,TextElementMerger,0,0,0,0,0
16,VisualHeadingDetector,0,0,0,0,0
17,ConsecutivePageNumberClassifier,0,0,0,0,0
17,ContentClassifierV6,0,0,0,0,0
17,EarlyMetadataRemoverStep,0,0,0,0,0
17,EmptyElementClassifier,0,0,0,0,5
17,EnhancedClauseClassifierV6,0,0,0,0,0
17,EnhancedTOCDetector,0,0,0,0,0
17,FallbackTitleClassifier,0,0,0,0,0
17,HeadingClassifierV6,0,0,0,0,0
17,HierarchyBuilder,0,0,0,0,0
17,HtmlCommentRemoverStep,0,0,0,0,0
17,ImprovedMetadataRemoverV7,0,0,0,0,261
17,LateMetadataRemoverStep,0,0,0,0,0
17,LegalContentClassifierV6,0,0,0,0,0
17,MainTitleClassifierV6,0,0,0,0,0
17,OrphanAttacherStep,0,0,0,0,0
17,SmartSectionClassifierV6,0,0,0,0,0
17,TableClassifier,0,0,0,0,0
17,TableOfContentsClassifier,0,0,0,0,0
17,TableRootPromoter,0,0,0,0,0
17,TextClassifier,0,0,0,0,905
17,TextElementMerger,0,0,0,0,0
17,VisualHeadingDetector,0,0,0,0,0
18,ConsecutivePageNumberClassifier,0,0,0,0,0
18,ContentClassifierV6,0,0,0,0,0
18,EarlyMetadataRemoverStep,0,0,0,0,0
18,EmptyElementClassifier,0,0,0,0,5
18,EnhancedClauseClassifierV6,0,0,0,0,0
18,EnhancedTOCDetector,0,0,0,0,0
18,FallbackTitleClassifier,0,0,0,0,0
18,HeadingClassifierV6,0,0,0,0,0
18,HierarchyBuilder,0,0,0,0,0
18,HtmlCommentRemoverStep,0,0,0,0,0
18,ImprovedMetadataRemoverV7,0,0,0,0,261
18,LateMetadataRemoverStep,0,0,0,0,0
18,LegalContentClassifierV6,0,0,0,0,0
18,MainTitleClassifierV6,0,0,0,0,0
18,OrphanAttacherStep,0,0,0,0,0
18,SmartSectionClassifierV6,0,0,0,0,0
18,TableClassifier,0,0,0,0,0
18,TableOfContentsClassifier,0,0,0,0,0
18,TableRootPromoter,0,0,0,0,0
18,TextClassifier,0,0,0,0,914
18,TextElementMerger,0,0,0,0,0
18,VisualHeadingDetector,0,0,0,0,0
19,ConsecutivePageNumberClassifier,0,0,0,0,0
19,ContentClassifierV6,0,0,0,0,0
19,EarlyMetadataRemoverStep,0,0,0,0,0
19,EmptyElementClassifier,0,0,0,0,5
19,EnhancedClauseClassifierV6,0,0,0,0,0
19,EnhancedTOCDetector,0,0,0,0,0
19,FallbackTitleClassifier,0,0,0,0,0
19,HeadingClassifierV6,0,0,0,0,0
19,HierarchyBuilder,0,0,0,0,0
19,HtmlCommentRemoverStep,0,0,0,0,0
19,ImprovedMetadataRemoverV7,0,0,0,0,264
19,LateMetadataRemoverStep,0,0,0,0,0
19,LegalContentClassifierV6,0,0,0,0,0
19,MainTitleClassifierV6,0,0,0,0,0
19,OrphanAttacherStep,0,0,0,0,0
19,SmartSectionClassifierV6,0,0,0,0,0
19,TableClassifier,0,0,0,0,0
19,TableOfContentsClassifier,0,0,0,0,0
19,TableRootPromoter,0,0,0,0,0
19,TextClassifier,0,0,0,0,924
19,TextElementMerger,0,0,0,0,0
19,VisualHeadingDetector,0,0,0,0,0
20,ConsecutivePageNumberClassifier,0,0,0,0,0
20,ContentClassifierV6,0,0,0,0,0
20,EarlyMetadataRemoverStep,0,0,0,0,0
20,EmptyElementClassifier,0,0,0,0,5
20,EnhancedClauseClassifierV6,0,0,0,0,0
20,EnhancedTOCDetector,0,0,0,0,0
20,FallbackTitleClassifier,0,0,0,0,0
20,HeadingClassifierV6,0,0,0,0,0
20,HierarchyBuilder,0,0,0,0,0
20,HtmlCommentRemoverStep,0,0,0,0,0
20,ImprovedMetadataRemoverV7,0,0,0,0,266
20,LateMetadataRemoverStep,0,0,0,0,0
20,LegalContentClassifierV6,0,0,0,0,0
20,MainTitleClassifierV6,0,0,0,0,0
20,OrphanAttacherStep,0,0,0,0,0
20,SmartSectionClassifierV6,0,0,0,0,0
20,TableClassifier,0,0,0,0,0
20,TableOfContentsClassifier,0,0,0,0,0
20,TableRootPromoter,0,0,0,0,0
20,TextClassifier,0,0,0,0,937
20,TextElementMerger,0,0,0,0,0
20,VisualHeadingDetector,0,0,0,0,0
21,ConsecutivePageNumberClassifier,0,0,0,0,0
21,ContentClassifierV6,0,0,0,0,0
21,EarlyMetadataRemoverStep,0,0,0,0,0
21,EmptyElementClassifier,0,0,0,0,5
21,EnhancedClauseClassifierV6,0,0,0,0,0
21,EnhancedTOCDetector,0,0,0,0,0
21,FallbackTitleClassifier,0,0,0,0,0
21,HeadingClassifierV6,0,0,0,0,0
21,HierarchyBuilder,0,0,0,0,0
21,HtmlCommentRemoverStep,0,0,0,0,0
21,ImprovedMetadataRemoverV7,0,0,0,0,266
21,LateMetadataRemoverStep,0,0,0,0,0
21,LegalContentClassifierV6,0,0,0,0,0
21,MainTitleClassifierV6,0,0,0,0,0
21,OrphanAttacherStep,0,0,0,0,0
21,SmartSectionClassifierV6,0,0,0,0,0
21,TableClassifier,0,0,0,0,0
21,TableOfContentsClassifier,0,0,0,0,0
21,TableRootPromoter,0,0,0,0,0
21,TextClassifier,0,0,0,0,937
21,TextElementMerger,0,0,0,0,0
21,VisualHeadingDetector,0,0,0,0,0
22,ConsecutivePageNumberClassifier,0,0,0,0,0
22,ContentClassifierV6,0,0,0,0,0
22,EarlyMetadataRemoverStep,0,0,0,0,0
22,EmptyElementClassifier,0,0,0,0,5
22,EnhancedClauseClassifierV6,0,0,0,0,0
22,EnhancedTOCDetector,0,0,0,0,0
22,FallbackTitleClassifier,0,0,0,0,0
22,HeadingClassifierV6,0,0,0,0,0
